patch_id,lat,lon,row_start,col_start,valid_fraction,risk_class,risk_label,risk_score,confidence,attn_Jun,attn_Jul,attn_Aug,attn_Sep,attn_Oct,attn_Nov
26,16.497515277090805,79.91498107479255,0,1248,1.0,0,Low Risk,0.2374,1.0,0.0266,0.0715,0.1192,0.031,0.148,0.6037
27,16.497515277090805,79.91929298815631,0,1296,1.0,0,Low Risk,0.2313,1.0,0.0178,0.075,0.0992,0.0689,0.1057,0.6335
28,16.497515277090805,79.9236049015201,0,1344,1.0,0,Low Risk,0.2113,1.0,0.0199,0.0868,0.1026,0.062,0.1034,0.6253
29,16.497515277090805,79.92791681488387,0,1392,1.0,0,Low Risk,0.2102,1.0,0.0198,0.0888,0.0973,0.09,0.0885,0.6156
30,16.497515277090805,79.93222872824764,0,1440,1.0,0,Low Risk,0.2838,0.9999,0.0251,0.1092,0.1102,0.0937,0.112,0.5498
31,16.497515277090805,79.93654064161142,0,1488,1.0,0,Low Risk,0.4558,0.5333,0.0307,0.1449,0.0682,0.1634,0.0992,0.4936
32,16.497515277090805,79.9408525549752,0,1536,1.0,0,Low Risk,0.426,0.8675,0.0301,0.1287,0.0848,0.146,0.1182,0.4923
33,16.497515277090805,79.94516446833896,0,1584,1.0,1,Medium Risk,0.5276,0.9994,0.0415,0.1513,0.0383,0.1615,0.182,0.4255
34,16.497515277090805,79.94947638170274,0,1632,1.0,0,Low Risk,0.3043,0.9995,0.026,0.106,0.1324,0.0694,0.135,0.5312
35,16.497515277090805,79.95378829506652,0,1680,1.0,0,Low Risk,0.2431,1.0,0.0179,0.0862,0.1117,0.0299,0.1633,0.5909
36,16.497515277090805,79.95810020843028,0,1728,1.0,0,Low Risk,0.2337,1.0,0.0087,0.1947,0.138,0.0402,0.1305,0.4879
37,16.497515277090805,79.96241212179406,0,1776,1.0,0,Low Risk,0.2163,1.0,0.0066,0.2462,0.1417,0.0519,0.1151,0.4385
38,16.497515277090805,79.96672403515782,0,1824,1.0,0,Low Risk,0.2159,1.0,0.0078,0.1958,0.1515,0.0732,0.1226,0.4491
39,16.497515277090805,79.9710359485216,0,1872,1.0,0,Low Risk,0.2145,1.0,0.0075,0.2081,0.1445,0.0697,0.1168,0.4535
40,16.497515277090805,79.97534786188538,0,1920,1.0,0,Low Risk,0.2511,1.0,0.0096,0.1864,0.1527,0.0821,0.1099,0.4594
41,16.497515277090805,79.97965977524915,0,1968,1.0,0,Low Risk,0.3006,0.9996,0.0123,0.1437,0.1718,0.122,0.0986,0.4516
42,16.497515277090805,79.98397168861293,0,2016,1.0,0,Low Risk,0.2655,0.9999,0.0316,0.121,0.149,0.079,0.1372,0.4822
43,16.497515277090805,79.9882836019767,0,2064,1.0,0,Low Risk,0.2468,1.0,0.0285,0.1069,0.1149,0.046,0.154,0.5497
44,16.497515277090805,79.99259551534047,0,2112,1.0,0,Low Risk,0.2429,1.0,0.0226,0.1033,0.1064,0.0351,0.1458,0.5868
45,16.497515277090805,79.99690742870425,0,2160,1.0,0,Low Risk,0.2665,0.9999,0.0202,0.0756,0.1076,0.0449,0.158,0.5936
46,16.497515277090805,80.00121934206803,0,2208,1.0,1,Medium Risk,0.4842,0.9304,0.026,0.1087,0.1419,0.0616,0.1778,0.4839
47,16.497515277090805,80.00553125543179,0,2256,1.0,1,Medium Risk,0.5049,0.9418,0.0169,0.112,0.1568,0.0782,0.2511,0.3852
48,16.497515277090805,80.00984316879557,0,2304,1.0,0,Low Risk,0.4241,0.9194,0.0297,0.1013,0.1322,0.0402,0.1402,0.5565
49,16.497515277090805,80.01415508215935,0,2352,1.0,0,Low Risk,0.3046,0.9998,0.0309,0.1127,0.1394,0.036,0.1138,0.5672
50,16.497515277090805,80.01846699552311,0,2400,1.0,0,Low Risk,0.3023,0.9998,0.0203,0.0823,0.0967,0.039,0.1401,0.6216
51,16.497515277090805,80.02277890888689,0,2448,1.0,0,Low Risk,0.3914,0.9845,0.0242,0.0512,0.0782,0.0367,0.168,0.6417
52,16.497515277090805,80.02709082225066,0,2496,1.0,0,Low Risk,0.3508,0.9984,0.0219,0.0464,0.0718,0.0443,0.1634,0.6521
53,16.497515277090805,80.03140273561444,0,2544,1.0,0,Low Risk,0.3883,0.9846,0.0256,0.0757,0.1151,0.0676,0.1267,0.5893
54,16.497515277090805,80.03571464897821,0,2592,1.0,0,Low Risk,0.3796,0.9946,0.0256,0.1026,0.1187,0.0912,0.1109,0.551
55,16.497515277090805,80.04002656234198,0,2640,1.0,0,Low Risk,0.4509,0.8107,0.0288,0.1187,0.113,0.0989,0.1175,0.523
56,16.497515277090805,80.04433847570576,0,2688,1.0,0,Low Risk,0.4463,0.8399,0.0297,0.146,0.115,0.1203,0.0896,0.4994
57,16.497515277090805,80.04865038906954,0,2736,1.0,1,Medium Risk,0.4805,0.7517,0.0314,0.156,0.1389,0.1094,0.1086,0.4558
58,16.497515277090805,80.0529623024333,0,2784,1.0,1,Medium Risk,0.5386,0.9183,0.0317,0.1275,0.1159,0.0975,0.1314,0.4961
59,16.497515277090805,80.05727421579708,0,2832,1.0,0,Low Risk,0.3994,0.9873,0.0294,0.1169,0.1059,0.0964,0.114,0.5374
60,16.497515277090805,80.06158612916086,0,2880,1.0,0,Low Risk,0.4514,0.755,0.0272,0.1151,0.1295,0.0854,0.117,0.5258
61,16.497515277090805,80.06589804252462,0,2928,1.0,2,High Risk,0.606,0.8533,0.0337,0.1356,0.1303,0.0986,0.1173,0.4846
62,16.497515277090805,80.0702099558884,0,2976,1.0,2,High Risk,0.6409,0.9888,0.0431,0.1645,0.0734,0.1312,0.1112,0.4766
63,16.497515277090805,80.07452186925218,0,3024,1.0,2,High Risk,0.6085,0.8973,0.0392,0.1767,0.1313,0.1284,0.1065,0.4179
64,16.497515277090805,80.07883378261594,0,3072,1.0,1,Medium Risk,0.561,0.8878,0.0387,0.1612,0.1464,0.1498,0.1011,0.4027
65,16.497515277090805,80.08314569597972,0,3120,1.0,2,High Risk,0.6798,0.9982,0.0709,0.1482,0.1335,0.1069,0.1171,0.4235
66,16.497515277090805,80.08745760934349,0,3168,1.0,2,High Risk,0.6561,0.9863,0.0663,0.1358,0.1684,0.0752,0.1119,0.4423
67,16.497515277090805,80.09176952270727,0,3216,1.0,2,High Risk,0.6396,0.9799,0.0858,0.0773,0.1157,0.0603,0.1432,0.5177
68,16.497515277090805,80.09608143607105,0,3264,1.0,2,High Risk,0.6365,0.9805,0.0927,0.0771,0.1339,0.1084,0.1517,0.4362
69,16.497515277090805,80.10039334943481,0,3312,1.0,2,High Risk,0.6225,0.9667,0.0878,0.0684,0.1456,0.0946,0.16,0.4436
70,16.497515277090805,80.10470526279859,0,3360,1.0,2,High Risk,0.6889,0.9993,0.1089,0.0647,0.1601,0.0841,0.1854,0.3969
71,16.497515277090805,80.10901717616237,0,3408,1.0,2,High Risk,0.6416,0.9809,0.0949,0.0629,0.1499,0.1018,0.1594,0.431
72,16.497515277090805,80.11332908952613,0,3456,1.0,2,High Risk,0.6084,0.7905,0.1016,0.0754,0.1137,0.0992,0.1359,0.4742
73,16.497515277090805,80.11764100288991,0,3504,1.0,1,Medium Risk,0.5402,0.9504,0.0927,0.0681,0.1049,0.0999,0.1169,0.5176
74,16.497515277090805,80.12195291625369,0,3552,1.0,2,High Risk,0.6578,0.9912,0.0911,0.0716,0.1601,0.0981,0.1504,0.4286
75,16.497515277090805,80.12626482961745,0,3600,1.0,2,High Risk,0.6309,0.9467,0.0898,0.0532,0.164,0.0832,0.1763,0.4335
76,16.497515277090805,80.13057674298123,0,3648,1.0,1,Medium Risk,0.4657,0.8715,0.0648,0.0243,0.1563,0.0733,0.1537,0.5276
77,16.497515277090805,80.13488865634501,0,3696,1.0,1,Medium Risk,0.5632,0.8631,0.0735,0.034,0.1808,0.0658,0.1582,0.4876
78,16.497515277090805,80.13920056970878,0,3744,1.0,2,High Risk,0.5985,0.7678,0.0895,0.0978,0.1639,0.0731,0.1251,0.4505
79,16.497515277090805,80.14351248307256,0,3792,1.0,1,Medium Risk,0.4718,0.6493,0.0628,0.0829,0.1419,0.0743,0.1307,0.5073
80,16.497515277090805,80.14782439643632,0,3840,1.0,0,Low Risk,0.4269,0.8859,0.0507,0.0575,0.1489,0.0958,0.1305,0.5165
81,16.497515277090805,80.1521363098001,0,3888,1.0,2,High Risk,0.6136,0.9523,0.1207,0.0555,0.088,0.1176,0.1255,0.4927
82,16.497515277090805,80.15644822316388,0,3936,1.0,2,High Risk,0.6096,0.9079,0.1264,0.0462,0.0852,0.109,0.1314,0.5018
83,16.497515277090805,80.16076013652764,0,3984,1.0,0,Low Risk,0.38,0.9817,0.045,0.0852,0.1066,0.0805,0.129,0.5536
84,16.497515277090805,80.16507204989142,0,4032,1.0,2,High Risk,0.5971,0.7406,0.1003,0.097,0.0635,0.1003,0.1556,0.4834
85,16.497515277090805,80.1693839632552,0,4080,1.0,2,High Risk,0.7363,0.9999,0.136,0.0476,0.0624,0.1421,0.2324,0.3795
86,16.497515277090805,80.17369587661896,0,4128,1.0,2,High Risk,0.6705,0.9984,0.1488,0.0472,0.0605,0.1287,0.2182,0.3966
87,16.497515277090805,80.17800778998274,0,4176,1.0,2,High Risk,0.6317,0.9837,0.1422,0.0532,0.0673,0.1281,0.1716,0.4377
88,16.497515277090805,80.18231970334652,0,4224,1.0,1,Medium Risk,0.4912,0.9507,0.0489,0.0752,0.1283,0.0708,0.1445,0.5323
89,16.497515277090805,80.18663161671029,0,4272,1.0,1,Medium Risk,0.4614,0.6398,0.0272,0.0992,0.1651,0.0525,0.1336,0.5223
90,16.497515277090805,80.19094353007407,0,4320,1.0,1,Medium Risk,0.564,0.9817,0.096,0.0439,0.1169,0.0806,0.1649,0.4977
91,16.497515277090805,80.19525544343784,0,4368,1.0,2,High Risk,0.6143,0.9133,0.1354,0.0697,0.0909,0.1003,0.1739,0.4298
92,16.497515277090805,80.19956735680161,0,4416,1.0,2,High Risk,0.6038,0.8044,0.1138,0.0624,0.1285,0.0911,0.1626,0.4416
93,16.497515277090805,80.20387927016539,0,4464,1.0,1,Medium Risk,0.4879,0.902,0.0215,0.1069,0.1973,0.0978,0.1127,0.4638
94,16.497515277090805,80.20819118352915,0,4512,1.0,1,Medium Risk,0.5611,0.9863,0.113,0.0692,0.1069,0.1039,0.1184,0.4885
95,16.497515277090805,80.21250309689293,0,4560,1.0,1,Medium Risk,0.4697,0.7595,0.1025,0.0337,0.0951,0.0906,0.1178,0.5603
96,16.497515277090805,80.21681501025671,0,4608,1.0,0,Low Risk,0.3524,0.994,0.0509,0.0281,0.0957,0.0504,0.1347,0.6402
97,16.497515277090805,80.22112692362047,0,4656,1.0,1,Medium Risk,0.5295,0.9899,0.084,0.0385,0.1107,0.0689,0.1473,0.5507
98,16.497515277090805,80.22543883698425,0,4704,1.0,1,Medium Risk,0.4908,0.9398,0.073,0.0412,0.151,0.0553,0.1368,0.5427
99,16.497515277090805,80.22975075034803,0,4752,1.0,2,High Risk,0.6614,0.9971,0.151,0.0438,0.0784,0.1074,0.2261,0.3934
100,16.497515277090805,80.2340626637118,0,4800,1.0,2,High Risk,0.7026,0.9994,0.1605,0.0894,0.0757,0.126,0.2002,0.3482
101,16.497515277090805,80.23837457707558,0,4848,1.0,2,High Risk,0.6956,0.9987,0.1208,0.0777,0.0968,0.0749,0.1374,0.4925
102,16.497515277090805,80.24268649043935,0,4896,1.0,1,Medium Risk,0.5782,0.8453,0.0919,0.0624,0.1415,0.0757,0.127,0.5015
103,16.497515277090805,80.24699840380312,0,4944,1.0,1,Medium Risk,0.5831,0.9769,0.1245,0.0885,0.0975,0.1308,0.1354,0.4232
104,16.497515277090805,80.2513103171669,0,4992,1.0,1,Medium Risk,0.5592,0.9983,0.1239,0.0555,0.0724,0.0965,0.1415,0.5101
105,16.497515277090805,80.25562223053066,0,5040,1.0,0,Low Risk,0.3461,0.9934,0.0782,0.0438,0.1351,0.0565,0.1282,0.5583
106,16.497515277090805,80.25993414389444,0,5088,1.0,1,Medium Risk,0.5677,0.9979,0.1433,0.0742,0.0769,0.1024,0.1258,0.4775
107,16.497515277090805,80.26424605725822,0,5136,1.0,1,Medium Risk,0.5507,0.9998,0.1589,0.0566,0.055,0.1146,0.1675,0.4474
108,16.497515277090805,80.26855797062198,0,5184,1.0,1,Medium Risk,0.4795,0.9081,0.1212,0.0423,0.0958,0.0869,0.1563,0.4976
109,16.497515277090805,80.27286988398576,0,5232,1.0,1,Medium Risk,0.4805,0.9224,0.1117,0.0678,0.0995,0.1023,0.1377,0.481
110,16.497515277090805,80.27718179734954,0,5280,1.0,1,Medium Risk,0.4779,0.9208,0.0823,0.1213,0.1247,0.1066,0.0751,0.4901
111,16.497515277090805,80.2814937107133,0,5328,1.0,0,Low Risk,0.3315,0.9977,0.0578,0.0881,0.151,0.0633,0.1096,0.5302
112,16.497515277090805,80.28580562407708,0,5376,1.0,0,Low Risk,0.3474,0.9962,0.0604,0.0748,0.1679,0.0609,0.1188,0.5171
113,16.497515277090805,80.29011753744086,0,5424,1.0,0,Low Risk,0.4296,0.7851,0.0783,0.0785,0.1644,0.0668,0.1268,0.4852
114,16.497515277090805,80.29442945080463,0,5472,1.0,0,Low Risk,0.4137,0.886,0.0755,0.063,0.1694,0.0507,0.1524,0.4891
115,16.497515277090805,80.29874136416841,0,5520,1.0,1,Medium Risk,0.4746,0.9113,0.0939,0.0599,0.1448,0.0684,0.1269,0.5062
116,16.497515277090805,80.30305327753219,0,5568,1.0,2,High Risk,0.6678,0.9965,0.1263,0.0944,0.1016,0.1005,0.0824,0.4948
117,16.497515277090805,80.30736519089595,0,5616,1.0,2,High Risk,0.6243,0.9125,0.1169,0.0759,0.1061,0.1003,0.1261,0.4748
118,16.497515277090805,80.31167710425973,0,5664,1.0,2,High Risk,0.5929,0.503,0.0854,0.0983,0.1846,0.0861,0.1144,0.4312
119,16.497515277090805,80.3159890176235,0,5712,1.0,1,Medium Risk,0.5665,0.9883,0.0954,0.0554,0.1504,0.0837,0.1265,0.4886
120,16.497515277090805,80.32030093098727,0,5760,1.0,1,Medium Risk,0.4615,0.9717,0.0973,0.0478,0.1203,0.0962,0.1177,0.5206
121,16.497515277090805,80.32461284435105,0,5808,1.0,1,Medium Risk,0.5083,0.9983,0.1072,0.0421,0.1055,0.1199,0.1501,0.4751
122,16.497515277090805,80.32892475771482,0,5856,1.0,1,Medium Risk,0.5143,0.9996,0.1135,0.0524,0.1015,0.1193,0.1419,0.4714
123,16.497515277090805,80.3332366710786,0,5904,1.0,1,Medium Risk,0.4639,0.9789,0.0994,0.0485,0.1024,0.1067,0.1194,0.5237
124,16.497515277090805,80.33754858444237,0,5952,1.0,1,Medium Risk,0.5124,0.9995,0.1356,0.0337,0.1035,0.1164,0.1383,0.4725
125,16.497515277090805,80.34186049780614,0,6000,1.0,1,Medium Risk,0.4593,0.9427,0.1026,0.0227,0.104,0.0778,0.1273,0.5657
126,16.497515277090805,80.34617241116992,0,6048,1.0,1,Medium Risk,0.4959,0.9933,0.1169,0.0276,0.09,0.0962,0.1119,0.5573
127,16.497515277090805,80.3504843245337,0,6096,1.0,2,High Risk,0.6887,0.9997,0.1131,0.0334,0.0683,0.1172,0.0769,0.5911
128,16.497515277090805,80.35479623789746,0,6144,1.0,2,High Risk,0.6404,0.9509,0.1101,0.0337,0.0612,0.0818,0.0689,0.6445
129,16.497515277090805,80.35910815126124,0,6192,1.0,1,Medium Risk,0.5891,0.5549,0.1204,0.0352,0.0889,0.0813,0.0951,0.579
130,16.497515277090805,80.36342006462502,0,6240,1.0,1,Medium Risk,0.5781,0.8735,0.1003,0.0541,0.1053,0.0874,0.107,0.546
131,16.497515277090805,80.36773197798878,0,6288,1.0,2,High Risk,0.6463,0.9943,0.1463,0.0539,0.098,0.0976,0.0968,0.5074
132,16.497515277090805,80.37204389135256,0,6336,1.0,1,Medium Risk,0.5721,0.9894,0.1631,0.0362,0.1263,0.0907,0.1577,0.4259
133,16.497515277090805,80.37635580471633,0,6384,1.0,1,Medium Risk,0.5702,0.9962,0.1725,0.0509,0.1209,0.1169,0.1676,0.3713
134,16.497515277090805,80.3806677180801,0,6432,1.0,1,Medium Risk,0.522,0.9997,0.1074,0.0432,0.1498,0.0902,0.1452,0.4642
135,16.497515277090805,80.38497963144388,0,6480,1.0,1,Medium Risk,0.4567,0.9258,0.0669,0.0631,0.1531,0.062,0.12,0.535
136,16.497515277090805,80.38929154480765,0,6528,1.0,1,Medium Risk,0.4571,0.8807,0.0354,0.0973,0.1614,0.0631,0.1298,0.5131
137,16.497515277090805,80.39360345817143,0,6576,1.0,0,Low Risk,0.4069,0.9505,0.0291,0.1017,0.162,0.0387,0.1486,0.5199
138,16.497515277090805,80.3979153715352,0,6624,1.0,0,Low Risk,0.4011,0.9388,0.0456,0.1095,0.1548,0.0344,0.154,0.5017
139,16.497515277090805,80.40222728489897,0,6672,1.0,1,Medium Risk,0.5503,0.9956,0.0607,0.1041,0.1018,0.0565,0.1445,0.5325
140,16.497515277090805,80.40653919826275,0,6720,1.0,1,Medium Risk,0.5093,0.9963,0.1324,0.0319,0.0575,0.1001,0.0838,0.5944
141,16.497515277090805,80.41085111162653,0,6768,1.0,0,Low Risk,0.3508,0.9938,0.1056,0.0231,0.0453,0.0946,0.0523,0.6792
142,16.497515277090805,80.41516302499029,0,6816,1.0,0,Low Risk,0.3212,0.9996,0.0893,0.0224,0.0392,0.0911,0.0421,0.7159
143,16.497515277090805,80.41947493835407,0,6864,1.0,0,Low Risk,0.3443,0.9965,0.0736,0.0592,0.0538,0.0867,0.0523,0.6745
144,16.497515277090805,80.42378685171785,0,6912,1.0,1,Medium Risk,0.4664,0.7555,0.0609,0.1574,0.1126,0.0706,0.0529,0.5455
145,16.497515277090805,80.42809876508161,0,6960,1.0,2,High Risk,0.6305,0.8453,0.0703,0.2429,0.1411,0.0401,0.128,0.3776
146,16.497515277090805,80.4324106784454,0,7008,1.0,1,Medium Risk,0.5053,0.9956,0.0489,0.2227,0.0968,0.0445,0.0707,0.5164
147,16.497515277090805,80.43672259180916,0,7056,1.0,1,Medium Risk,0.4957,0.952,0.0556,0.1877,0.0864,0.0459,0.0666,0.5578
148,16.497515277090805,80.44103450517294,0,7104,1.0,1,Medium Risk,0.4778,0.9574,0.0593,0.1218,0.0765,0.0643,0.0716,0.6065
149,16.497515277090805,80.44534641853672,0,7152,1.0,2,High Risk,0.6354,0.966,0.0654,0.2117,0.0945,0.0388,0.108,0.4816
150,16.497515277090805,80.44965833190048,0,7200,1.0,1,Medium Risk,0.573,0.9725,0.0642,0.317,0.1173,0.0409,0.1251,0.3355
151,16.497515277090805,80.45397024526426,0,7248,1.0,1,Medium Risk,0.5251,0.9936,0.0585,0.3145,0.1172,0.0475,0.1068,0.3555
152,16.497515277090805,80.45828215862804,0,7296,1.0,1,Medium Risk,0.5499,0.9987,0.0728,0.236,0.1209,0.0505,0.1252,0.3948
153,16.497515277090805,80.4625940719918,0,7344,1.0,2,High Risk,0.5971,0.6285,0.0815,0.1245,0.0808,0.0565,0.0811,0.5756
154,16.497515277090805,80.46690598535558,0,7392,1.0,2,High Risk,0.6128,0.8681,0.112,0.1061,0.0757,0.0653,0.0951,0.5458
155,16.497515277090805,80.47121789871936,0,7440,1.0,2,High Risk,0.6092,0.7542,0.1201,0.1283,0.0889,0.0579,0.1353,0.4695
156,16.497515277090805,80.47552981208312,0,7488,1.0,2,High Risk,0.622,0.9079,0.1091,0.0595,0.0551,0.0808,0.1178,0.5776
157,16.497515277090805,80.4798417254469,0,7536,1.0,2,High Risk,0.6779,0.9996,0.0801,0.0432,0.0402,0.0593,0.1245,0.6528
158,16.497515277090805,80.48415363881068,0,7584,1.0,1,Medium Risk,0.6008,0.8577,0.0331,0.045,0.025,0.0405,0.1267,0.7296
159,16.497515277090805,80.48846555217445,0,7632,1.0,1,Medium Risk,0.5848,0.9526,0.0453,0.0356,0.027,0.039,0.1324,0.7206
160,16.497515277090805,80.49277746553823,0,7680,1.0,2,High Risk,0.7168,0.9975,0.1009,0.0403,0.0455,0.0382,0.1122,0.663
161,16.497515277090805,80.49708937890199,0,7728,1.0,2,High Risk,0.6703,0.9989,0.1176,0.0892,0.0783,0.0381,0.1209,0.556
162,16.497515277090805,80.50140129226577,0,7776,1.0,1,Medium Risk,0.5794,0.6689,0.0951,0.1144,0.0813,0.0508,0.0816,0.5768
163,16.497515277090805,80.50571320562955,0,7824,1.0,1,Medium Risk,0.5768,0.9599,0.1103,0.1091,0.0783,0.0557,0.1287,0.5179
164,16.497515277090805,80.51002511899331,0,7872,1.0,2,High Risk,0.6496,0.997,0.1352,0.0826,0.0756,0.0356,0.1829,0.4881
165,16.497515277090805,80.51433703235709,0,7920,1.0,2,High Risk,0.681,0.9997,0.1229,0.0556,0.0558,0.0421,0.1881,0.5355
166,16.497515277090805,80.51864894572087,0,7968,1.0,2,High Risk,0.6646,0.9996,0.0668,0.0657,0.0433,0.0373,0.1478,0.6391
167,16.497515277090805,80.52296085908463,0,8016,1.0,2,High Risk,0.6403,0.9892,0.0661,0.0706,0.0423,0.0465,0.1613,0.6134
168,16.497515277090805,80.52727277244841,0,8064,1.0,2,High Risk,0.646,0.9897,0.0549,0.0916,0.043,0.0623,0.1887,0.5595
169,16.497515277090805,80.53158468581219,0,8112,1.0,1,Medium Risk,0.5833,0.9767,0.0977,0.0579,0.0466,0.0785,0.1551,0.5643
170,16.497515277090805,80.53589659917596,0,8160,1.0,1,Medium Risk,0.5685,0.9612,0.0822,0.0931,0.063,0.0552,0.0851,0.6214
171,16.497515277090805,80.54020851253973,0,8208,1.0,1,Medium Risk,0.5664,0.9797,0.0926,0.0494,0.0479,0.0659,0.0858,0.6584
172,16.497515277090805,80.54452042590351,0,8256,1.0,2,High Risk,0.611,0.9269,0.1089,0.0474,0.0504,0.063,0.0691,0.6612
173,16.497515277090805,80.54883233926728,0,8304,1.0,1,Medium Risk,0.5477,0.9964,0.0835,0.1136,0.0731,0.063,0.0868,0.5799
174,16.497515277090805,80.55314425263106,0,8352,1.0,1,Medium Risk,0.5699,0.9927,0.0986,0.1175,0.0755,0.0519,0.1396,0.5168
175,16.497515277090805,80.55745616599482,0,8400,1.0,2,High Risk,0.6136,0.8996,0.0873,0.1064,0.0587,0.0449,0.121,0.5817
176,16.497515277090805,80.5617680793586,0,8448,1.0,1,Medium Risk,0.5247,0.9798,0.0688,0.1129,0.0516,0.0619,0.0657,0.6391
177,16.497515277090805,80.56607999272238,0,8496,1.0,1,Medium Risk,0.5611,0.9788,0.0944,0.0903,0.0552,0.0658,0.0743,0.6201
178,16.497515277090805,80.57039190608614,0,8544,1.0,2,High Risk,0.6273,0.9924,0.1042,0.0646,0.0512,0.0545,0.0799,0.6457
179,16.497515277090805,80.57470381944992,0,8592,1.0,2,High Risk,0.6295,0.9923,0.0873,0.0503,0.0403,0.0521,0.0839,0.6861
180,16.497515277090805,80.5790157328137,0,8640,1.0,2,High Risk,0.6093,0.9438,0.0917,0.1102,0.074,0.0365,0.0813,0.6063
181,16.497515277090805,80.58332764617747,0,8688,1.0,1,Medium Risk,0.5261,0.9766,0.0624,0.16,0.0782,0.0518,0.0637,0.5839
182,16.497515277090805,80.58763955954124,0,8736,1.0,1,Medium Risk,0.4967,0.9196,0.0976,0.0959,0.0615,0.0595,0.0567,0.6287
183,16.497515277090805,80.59195147290502,0,8784,1.0,1,Medium Risk,0.4787,0.6176,0.1021,0.1004,0.0641,0.0678,0.0548,0.6109
184,16.497515277090805,80.59626338626879,0,8832,1.0,0,Low Risk,0.412,0.9797,0.0861,0.1142,0.0699,0.0769,0.0484,0.6044
185,16.49320336372703,79.80287132733443,48,0,1.0,0,Low Risk,0.3912,0.9745,0.0586,0.0757,0.1042,0.0699,0.129,0.5625
