lat,lon,elevation_m,slope_degrees
16.5357,79.6357,118.0,0.08213020806334148
16.5357,79.7571,122.0,0.09025743798823016
16.5357,79.8786,103.0,0.1852784254827861
16.5357,80.0,98.0,0.312055726789958
16.5357,80.1214,52.0,0.23642454783833028
16.5357,80.2429,40.0,0.06343389173356034
16.5357,80.3643,28.0,0.04467682302918402
16.5357,80.4857,22.0,0.03423770359333766
16.5357,80.6071,34.0,0.07091860381810239
16.5357,80.7286,81.0,0.25302962618103664
16.5357,80.85,12.0,0.12089301009701847
16.6143,79.15,191.0,0.20267974458345006
16.6143,79.2714,262.0,0.3883340274498168
16.6143,79.3929,119.0,0.2220795520065556
16.6143,79.5143,81.0,0.1317035241779128
16.6143,79.6357,107.0,0.07652116364529343
16.6143,79.7571,100.0,0.12779653767409568
16.6143,79.8786,75.0,0.1699843649956524
16.6143,80.0,107.0,0.19570552386966697
16.6143,80.1214,48.0,0.08112032451803512
16.6143,80.2429,27.0,0.07493310788754984
16.6143,80.3643,29.0,0.12687109022668336
16.6143,80.4857,36.0,0.18573580742805545
16.6143,80.6071,21.0,0.20489549567203147
16.6143,80.7286,43.0,0.1327010126347695
16.6143,80.85,35.0,0.17013270906685946
16.6929,79.15,222.0,0.16102302256745818
16.6929,79.2714,174.0,0.2122145408555399
16.6929,79.3929,111.0,0.1671941897374254
16.6929,79.5143,101.0,0.06050250108812706
16.6929,79.6357,86.0,0.10406017615074713
16.6929,79.7571,156.0,0.32110658940941883
16.6929,79.8786,34.0,0.26500593980493137
16.6929,80.0,47.0,0.12513634137168242
16.6929,80.1214,45.0,0.07306582876031431
16.6929,80.2429,57.0,0.07540950810852054
16.6929,80.3643,42.0,0.15719831808069618
16.6929,80.4857,224.0,0.808484692407582
16.6929,80.6071,38.0,0.230643394096424
16.6929,80.7286,106.0,0.21460774804926136
16.6929,80.85,71.0,0.15378800605567594
16.7714,79.15,209.0,0.10210292728299719
16.7714,79.2714,179.0,0.12923727773677732
16.7714,79.3929,118.0,0.14723627703154624
16.7714,79.5143,110.0,0.0733070417701811
16.7714,79.6357,110.0,0.07668190656043829
16.7714,79.7571,85.0,0.15530285862616466
16.7714,79.8786,90.0,0.14868804562098425
16.7714,80.0,86.0,0.14071652792345796
16.7714,80.1214,41.0,0.0844602622387509
16.7714,80.2429,54.0,0.042734536069360715
16.7714,80.3643,37.0,0.1649298380948877
16.7714,80.4857,82.0,0.2173575013820918
16.7714,80.6071,79.0,0.1373924268358822
16.7714,80.7286,80.0,0.09803998398276959
16.7714,80.85,108.0,0.10511720433026381
16.85,79.15,203.0,0.08379473520854809
16.85,79.2714,175.0,0.11184914036004649
16.85,79.3929,158.0,0.13223560123555905
16.85,79.5143,142.0,0.12198559578066634
16.85,79.6357,114.0,0.057805835930906845
16.85,79.7571,110.0,0.07308435651877006
16.85,79.8786,135.0,0.19710504430260029
16.85,80.0,86.0,0.11126447195396286
16.85,80.1214,50.0,0.08631163304677193
16.85,80.2429,65.0,0.08178121233977212
16.85,80.3643,47.0,0.07138223650075762
16.85,80.4857,60.0,0.09418579493446055
16.85,80.6071,86.0,0.0492761534616175
16.85,80.7286,97.0,0.0780823307806146
16.85,80.85,125.0,0.13348883226580574
